ageReported,householdReported,timePhase1,timePhase2,timePhase3,timePhase4,timeDem,timeRisk,languageEnglish,genderReported,gamble1,gamble2,incomeReported_10000,incomeReported_100000,incomeReported_15000,incomeReported_150000,incomeReported_25000,incomeReported_40000,incomeReported_60000,incomeReported_75000,maritalReported_divorced,maritalReported_engaged,maritalReported_married,maritalReported_separated,maritalReported_single,maritalReported_widow,pbdmBid,pbdmOffer,nCorrect,nInTime,timeExperiment,offerType,treated,ub,lb,prob_zero,prob_walls,budget_pbdm,tutorial_max_credits_1,tutorial_offer_1,tutorial_game_credits_1,tutorial_regret_1,tutorial_max_credits_2,tutorial_offer_2,tutorial_game_credits_2,tutorial_regret_2,tutorial_max_credits_3,tutorial_offer_3,tutorial_game_credits_3,tutorial_regret_3,tutorial_max_credits_4,tutorial_offer_4,tutorial_game_credits_4,tutorial_regret_4,tutorial_max_credits_5,tutorial_offer_5,tutorial_game_credits_5,tutorial_regret_5,tutorial_max_credits_6,tutorial_offer_6,tutorial_game_credits_6,tutorial_regret_6,pbdmRegret,prop
26.0,3.0,11.68499994278,252.1210000515,14.674999952316,147.99699997902,195852.65672222158,195852.65672222158,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,107,9,20,1.3724166666666666,BDM,False,200.0,0.0,0.0,0.05,6,4,2,8,4,6,10,18,6,8,13,15,8,8,8,13,8,8.0,7,9,4,12.0,15,16,3,131,0.025
22.0,2.0,11.042000055313,199.13599991798,10.947000026703,173.68099999428,162886.30472222215,162886.30472222215,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,130,15,20,1.2056,BDM,False,200.0,0.0,0.0,0.05,87,3,1,10,3,4,6,12,4,2,8,10,2,2,3,7,2,7,2,14,7,8.0,3,9,5,152,0.305
36.0,3.0,8.6870000362396,233.95499992371,11.556999921799,267.70300006866,209767.2994821424,209767.2994821424,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,79,14,20,3.04085,BDM,False,200.0,0.0,0.0,0.05,71,8,7,18,8,6,12,16,7,10,20,20,10,3,3,7,3,9,18,19,9,5.0,2,5,2,65,0.33
33.0,4.0,3.1190001964569,203.20599985123,33.02999997139,129.9240000248,152158.5478745618,152158.5478745618,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,73,12,20,1.1509833333333332,PBDM,False,176.68419184787848,-48.61169679342284,0.1085,0.05,29,7,5,10,5,10,10,17,11,14,15,19,16,14,6,14,5,12,8,19,5,20,2,7,3,40,0.22873723137445645
28.0,2.0,18.788000106812,523.73599982262,59.335000038147,312.31299996376,500823.2781130947,500823.2781130947,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,19,20,2.9084666666666665,PBDM,True,174.51090476814576,-60.49460562528362,0.1515,0.05,43,9,8,17,9,8,10,14,8,17,17,19,17,5,5,6,5,14.0,4,14,12,16,13,17,16,100,0.6354492845893536
33.0,2.0,8.297000169754,272.22799992561,11.93700003624,297.65199995041,289908.49688947445,289908.49688947445,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0,14,20,3.1955666666666667,PBDM,True,170.34735871371643,-69.2258686234557,0.1685,0.05,73,5,4,13,5,4,10,10,4,10,1,11,10,5,10,12,5,19.0,12,19,15,15.0,8,15,12,55,0.44475498760897797
30.0,5.0,7.0030000209808,172.88999986649,12.959000110626,172.32699990273,190430.31116081783,190430.31116081783,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,195,15,20,1.8082833333333332,BDM,True,200.0,0.0,0.0,0.05,40,100,57,13,58,10,10,5,10,50,21,14,22,30,11,7,12,20,6,15,7,10,4,7,5,19,0.999
56.0,2.0,20.043999910355,473.93000006676,50.248999834061,251.00500011444,178919.01608918066,178919.01608918066,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,46,12,20,1.7912333333333332,BDM,False,200.0,0.0,0.0,0.05,62,5,1,19,5,5,8,12,9,5,6,6,7,19,16,14,19,19.0,16,19,18,21,5,8,10,104,0.055
31.0,4.0,14.595999956131,603.40299987793,60.415000200272,237.07299995422,55048.043126608085,55048.043126608085,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,57,13,18,1.5942166666666666,BDM,False,200.0,0.0,0.0,0.05,60,60,51,10,50,30,12,8,11,15,14,13,14,11,10,10,11,6,3,5,6,13.0,3,13,11,152,0.055
32.0,2.0,38.025000095367,511.9430000782,57.701999902725,311.35800004005,187930.3391883051,187930.3391883051,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,10,17,20,3.500366666666667,PBDM,True,183.41593511620067,-73.13174545893679,0.166,0.05,58,3,2,6,3,10,17,17,18,14,7,14,14,07,9,9,10,8,2,5,8,10,5,9,10,50,0.40300419534922366
